periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Total Positive (Add HV02-10 - HV02-14) HV02-15,MOH 731 15-24 (F) HV01-47,MOH 731 15-24 (M) HV01-46,MOH 731 25+ (F) HV01-49,MOH 731 25+ (M) HV01-48,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Mother-baby pairs_24mths HV02-51,MOH 731 On ART_10-14 (F) HV03-031,MOH 731 On ART_10-14(M) HV03-030,MOH 731 On ART_15-19 (F) HV03-033,MOH 731 On ART_15-19(M) HV03-032,MOH 731 On ART_20-24 (F) HV03-035,MOH 731 On ART_20-24(M) HV03-034,MOH 731 On ART_25+ (F) HV03-037,MOH 731 On ART_25+(M) HV03-036,MOH 731 Presumed TB_Total HV03-058,MOH 731 Screen for TB _1-9 HV03-052,MOH 731 Screen for TB _10-14 HV03-053,MOH 731 Screen for TB _15-19 HV03-054,MOH 731 Screen for TB _20-24 HV03-055,MOH 731 Screen for TB _25+ HV03-056,MOH 731 Screen for TB_Total HV03-057,MOH 731 Screen for TB_<1 HV03-051,MOH 731 Screen CaCx_New F18+ HV03-087,MOH 731 Start ART_10-14 (F) HV03-019,MOH 731 Start ART_10-14(M) HV03-018,MOH 731 Start ART_15-19 (F) HV03-021,MOH 731 Start ART_15-19(M) HV03-020,MOH 731 Start ART_20-24 (F) HV03-023,MOH 731 Start ART_20-24(M) HV03-022,MOH 731 Start ART_25+ (F) HV03-025,MOH 731 Start ART_25+(M) HV03-024
2020,2020,2020,mYlMs4xTj82,Ainabkoi Sub County,KE_SubCounty_3229,,338,382,338,1022,1137,468,246,306,2731,2679,4644,4138,4178,3076,114242,62493,267,2819,4810,8392,6136,115120,137129,33,184,6,5,28,9,91,23,524,345
2020,2020,2020,GshNTMZJ5r1,Ainamoi Sub County,KE_SubCounty_3026,,256,50,27,79,131,92,165,214,1194,1315,1830,1512,2613,1594,45130,23636,653,361,1189,1607,2781,21125,27170,7,11,3,2,9,3,45,16,233,178
2020,2020,2020,Sq2fLWnOCGg,Aldai Sub County,KE_SubCounty_3171,,83,28,8,42,30,13,43,19,173,271,255,189,370,116,7831,3128,178,579,431,393,441,10267,12122,9,,,,2,1,11,2,55,34
2020,2020,2020,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,1350,881,413,1122,1259,830,1160,985,4685,4050,3760,2802,8833,1963,145576,78247,2941,8579,8728,6492,10529,222164,256696,128,13583,15,8,54,13,196,30,718,524
2020,2020,2020,FKt9UVErwh3,Aroo Sub County,,,26,246,339,261,360,175,22,22,191,152,112,84,164,61,3430,2112,28,354,338,184,205,5428,6493,5,,2,1,3,1,5,5,26,47
2020,2020,2020,BxfsSc6Svrc,Athi River Sub County,KE_SubCounty_3093,,258,35,19,178,100,114,152,160,366,270,241,324,1755,286,22287,12526,158,898,628,626,2771,33964,38924,37,4525,2,4,7,2,70,8,280,131
2020,2020,2020,ka9Uv3Ckcbd,Awendo Sub County,KE_SubCounty_3125,,589,287,255,408,517,2807,483,499,2113,2072,2192,1217,5919,1232,63754,32301,560,3940,4144,3360,6962,94071,112557,80,1179,8,2,33,3,117,14,350,253
2020,2020,2020,FGBNPr91pXH,Balambala Sub County,KE_SubCounty_2993,,,26,30,10,31,,,,,,,,18,18,13,6,,,,,,,,,,,,,,,,,
2020,2020,2020,hCvlJNjyZna,Banissa Sub County,KE_SubCounty_3104,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2020,2020,k7Rj54u6dMx,Baringo Central Sub County,KE_SubCounty_2956,,40,131,50,119,128,26,28,36,179,287,455,296,381,170,8766,4128,94,365,457,731,531,12638,14748,2,1089,1,1,3,,10,3,47,46
2020,2020,2020,vvOK1BxTbet,Baringo County,KE_County_30,,206,319,181,496,516,312,127,119,887,897,1111,922,1642,521,31931,15148,1141,1577,1713,1983,2107,44729,52156,26,2269,76,1,16,,57,9,291,181
