organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
VeDu9Olup41,AAR Health care-Kisumu,20956,,,,,1
SlmxDUIybki,Abidha Health Centre,13461,,,,,4
tpmeDcmWQWf,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,,1,,1
HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,,,,4
VsK11IQUWdd,Acef Ena Health Centre,12791,,,1,,4
r9Nw0PyLOZD,ACK MT Kenya Hospital (Mwea),10093,,,,,1
E0sp9SbtPJo,Adiedo Health Centre,13463,,,1,,6
cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,,,,18
byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,,,,,2
pkKPZUYXl5l,Adu Dispensary,11198,,,,,1
ZjnMNXqHnuD,Adventist Centre for Care and Support,18535,,,,,1
fUh3CKfP6Ee,Afraha Maternity and Nursing Home,18382,,,,,1
Dp01W92uqkK,Africa Inuka Hospital,25539,,,,,2
FTVmVryLXiE,Africare Ltd NHIF clinic,22866,NHIF building,,,,3
BNcX5e9pXoY,Afya Bora Clinic (Mutomo),17819,,,,,1
qsxmVDGFRfZ,Afya International Hospital,21925,New Facility,,,,1
qG23wKJUT5W,Afya Link Medical Centre,22887,,,,,1
zyB0ZAySK90,Afyastar Medical Clinic,18552,,,,,1
hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,,,,6
ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,,,,6
FF239lMkAXV,Agakhan Clinic (Kisii),21029,Agakhan Clinic (Kisii),,,,1
qIuHbZDmYPX,Agawo Health Centre,13466,,,,,1
orKDpItM56v,Agenga Dispensary,13467,,,,,8
M7R0OJOMSOA,Ahadi Health and Maternity Services,10018,,,,,1
iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,,3,1,34
TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,,,,2
Hz0YZaxawTo,Ahmadiya Hospital,15791,,1,,,3
AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,,,,11
Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,20736,,,,,18
QMzWtI2lOvC,Aina Dispensary,20030,Dispensary,,,,6
Q4h7yLoLe0G,Ainamoi Health Centre,14192,,,,,7
oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,,3,1,9
KuftRocWEh1,Ajam Mission Health Centre,18398,,,,,5
PBqYe1aI7YB,Akachiu Health Centre,11923,,,1,,5
ngzYEraCr33,Akala Health Centre,13471,,1,2,,14
jLCDKWdsW28,Akemo Medical Clinic,17770,,,,,3
les3bNZfpjr,Akichelesit Dispensary,15792,,,1,,2
sukHAdsaboL,Akobwait Community Dispensary,26021,,,1,,1
asspSN9u7oh,Akolong Dispensary,26001,,,1,,1
q3IEhLuhsMQ,Akshar Nursing Home,10604,,,,,5
